question,answer,source,source_file,page
What happens if a student in a shared room leaves?,"If the other occupant leaves a shared room, the University reserves the right to transfer the remaining Student to a different room or to introduce a replacement student to share the Premises with the Student.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
When will keys to the Premises be issued to a student?,The University will only issue keys to the Premises after the Student has completed the necessary requirements.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
Under what circumstances can the University terminate a student's accommodation licence?,"The University can terminate the Licence if the Student fails their examinations or end of year assessments and/or reassessments and has not been allowed to transfer onto another full-time course at Loughborough University, unless evidence is provided within 48 hours of being notified of their results.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
What happens to the Licence Fees if the University terminates the Licence due to a student's failure in examinations?,"If the University cancels the Licence due to the student's failure in examinations, the University will refund any Licence Fees the Student has already paid that relate to the period of the Licence.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,2
What grounds can the University use to terminate a student's Licence agreement for accommodation?,"The University can terminate a student's Licence agreement if the student is in breach of the terms of the agreement, if the student is determined through disciplinary procedures to not be allowed to continue living in University accommodation, or if the student has been convicted of a criminal offence that disqualifies them from living in University halls of residence.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What must a student do to terminate their Licence agreement before or during the Licence Period?,The student is required to submit a completed Accommodation Cancellation Request to terminate their Licence agreement before or during the Licence Period.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What is the process for a student to terminate their Licence early for compassionate or medical reasons?,"The student must complete the appropriate Form (obtainable online) and return it to the University as a pre-condition for consideration of early termination. The University must be satisfied, in its reasonable discretion, with the reasons given by the student and any supporting evidence, such as a recent letter from a medical professional regarding health.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
Are applications for early termination of the Licence accepted during specific periods?,Applications for release will not be accepted from 4 weeks before the end of the Academic Summer Term to the end of the Licence period.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What should a student do to cancel their accommodation licence before the start of the Licence Period due to a placement or exchange study visit?,The student is required to submit a completed Accommodation Cancellation Form and provide evidence of their acceptance of their formal placement offer.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What happens if a student fails to provide evidence of their placement offer within 14 days?,An administration charge of £150 will apply if the student fails to supply this evidence within 14 days of their acceptance of a placement offer.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
Under what conditions can a student be released from their Licence obligations?,A student may be released from their Licence obligations if they have considered suitable alternative University accommodation and their application to terminate the Licence has been evaluated and approved by the University.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What happens to Licence Fees if a student's application to terminate their Licence is successful?,"If a student's application to terminate their Licence is successful, Licence Fees will be refunded from the date the student vacates the premises and returns the keys to the Hall reception, whichever is the later date.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What charges may a student incur upon vacating their accommodation?,A student may be subject to damage charges as outlined in clauses 11-14 of the terms and conditions.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What happens to a student's liability for Licence Fees if they take a leave of absence from their course?,"The student remains liable for payment of all Licence Fees until the date of vacating the premises and returning the keys, whichever is later. Additionally, a withdrawal fee equal to 4 weeks rent may apply to cover costs associated with the premises being empty until re-occupied.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What is the withdrawal fee for students who vacate their accommodation?,"The withdrawal fee is equal to 4 weeks rent, which may be retained from pre-paid Licence Fees, to cover costs related to the premises being empty, as well as the University’s costs of advertising, cleaning, and administration.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
How is the 4 weekly charge calculated for students receiving a temporary discount on accommodation fees?,"For students receiving a temporary discount, the 4 weekly charge will be calculated using the pre-discount rate.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What must a student do if they secure a placement or exchange study visit for the Second Semester?,"The student must provide evidence of their acceptance of their formal placement offer and pay the Licence Fees until the end date of the first Semester or the return of the Keys to the Hall reception, whichever is later.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What happens if a student fails to provide evidence of their placement acceptance by the first day of the Spring Term?,The student will be liable to pay an additional withdrawal fee equal to 4 weeks rent and be subject to any charges under clauses 11-14.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What is the deadline for a student to secure a placement or exchange study visit during the second Semester Period?,The placement or exchange study visit must be secured prior to the last 4 weeks of the Academic Summer Term.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What is the deadline for a student to cancel their accommodation licence without incurring a higher administration fee?,A student may cancel their accommodation licence before the start of the Licence Period prior to 1 June 2026.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What is the administration fee for cancelling the accommodation licence if the cancellation form is submitted on or before 30 April 2026?,The administration fee for cancelling the accommodation licence if the cancellation form is submitted on or before 30 April 2026 is £75.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,3
What are the conditions under which Licence Fees are applicable for student accommodation at Loughborough University?,Licence Fees are applicable unless the University grants a Licence of the Premises to another student who is reasonably acceptable to the University and who has not made an application for University accommodation for the Licence Period or is not already in contract for University accommodation elsewhere.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What is the student's responsibility regarding finding a replacement occupier for their accommodation?,It is primarily the Student’s responsibility to find the replacement occupier for their accommodation.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
Will the University grant a Licence of the Premises to someone on the waiting list?,The University shall not be under any obligation to grant a Licence of the Premises to anyone already on its waiting list until all its existing available accommodation has become occupied.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What is the fee for terminating the Licence between 1 May and 31 May 2026?,The fee for terminating the Licence between 1 May and 31 May 2026 is £150.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What happens if a student wishes to terminate the Licence after 1 June 2026?,"If a student wishes to terminate the Licence on or after 1 June 2026 and before the start of the Licence Period, all Licence Fees are applicable unless the University grants a Licence of the Premises to another student who is acceptable to the University. The student is primarily responsible for finding a replacement occupier and an administration fee of £150 will apply.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What is required for a student to terminate their Licence after the start of the Licence?,"If a student wishes to terminate the Licence after the start of the Licence but does not obtain a written release, they must comply with the terms outlined in the Licence agreement.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What is the administration fee charged by Loughborough University for student accommodation?,The administration fee charged by Loughborough University for student accommodation is £150.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
How can a student appeal the University’s decision regarding their accommodation?,"A student can appeal the University’s decision by writing to the Student Accommodation Manager, and appeals will be accepted via email at sac@mailbox.lboro.ac.uk.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
Under what circumstances can the University terminate a student's accommodation licence?,"The University can terminate a student's accommodation licence if the student is in serious or persistent breach of any terms of their Licence or is found guilty of a serious or persistent disciplinary offence under the University’s disciplinary regulations, with four weeks written notice given to the student.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What actions may lead to serious and/or persistent breaches in university residence?,"Serious and/or persistent breaches include substance abuse, dealing or supply, violent or aggressive behaviour, harassment, noise nuisance, serious damage to or interference with property, and bringing a vehicle to Loughborough in breach of an undertaking given by the student.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What happens if the University terminates a student's Licence due to a breach?,"If the University terminates the Licence as permitted, it will claim compensation from the student to cover the losses suffered and additional expenses incurred as a result of the student's breach.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What happens if a student terminates their Licence agreement during Term 1?,"If the Licence is terminated during Term 1, the student will only be liable for Licence Fees until the end of Semester One.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
Under what circumstances can the University terminate a student's Licence agreement?,"The University may terminate the Licence agreement with immediate effect if it decides, in accordance with its procedures, that the Student shall not be permitted to continue or complete their course of study.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What are the financial responsibilities of a student if their Licence agreement is terminated by the University?,"If the Licence agreement is terminated by the University, the Student will remain liable to pay Licence Fees until the end of the Licence Period or until another student takes over the Licence, if sooner.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What happens if the University terminates the Licence on disability or health grounds?,"If the University terminates the Licence on disability or health grounds, it will refund pre-paid Licence Fees to the Student for the part of the Licence Period that remains unexpired after the termination.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
Under what circumstances can the University terminate a student's Licence before the end of the Licence Period?,"The University can terminate the Licence before the end of the Licence Period by serving 2 weeks notice on the Student if, in the University’s reasonable opinion, the Student’s health or behaviour creates a serious risk to themselves or to others or to the property of others.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What is the maximum period a student can occupy the Premises after vacating and returning their Keys?,The maximum period a student can occupy the Premises after vacating and returning their Keys to the University is 4 weeks.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What obligations does the University have under the Equality Act 2010 regarding students with disabilities?,The University has an obligation to use all reasonable endeavours to consult and accommodate students with disabilities if the Premises or communal living is unsuitable for them.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,4
What must the University do if a student does not leave the premises voluntarily?,The University must obtain an order for possession from the court before the student can be lawfully evicted.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What costs can the University claim if a student breaches their obligations?,"The University may claim losses and expenses incurred as a result of any breach of the Student’s obligations, provided it takes reasonable steps to keep its losses as low as possible and the expenses claimed are properly and reasonably incurred.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What is the University’s policy regarding disabled students in terms of accommodation termination or transfer?,"The University has a policy of positive discrimination towards disabled students and will not be obligated to terminate a disabled student’s Licence or transfer them to other accommodation unless there is a serious risk to the health, safety, or welfare of other students.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What happens if a student’s Licence is terminated on behaviour grounds that are not related to a disability?,"If the Licence is terminated on behaviour grounds not related to a disability, the University will claim lost income from the student from the date the Licence ends until the end of the Licence Period or until the date the Premises are occupied by another student, whichever is sooner.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What is the time frame for students to report defects after receiving their keys?,Students must report any defects within 72 hours of being issued with their keys.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What are students required to do with the contents of the premises and common parts?,"Students must take reasonable care of the contents in the premises and the common parts, and leave them clean and undamaged, except for fair wear and tear and damage caused by insured risks.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What should a student do if they believe they are not responsible for damage to the Common Parts?,"The student can appeal against the claim by emailing campusservicescustomer@lboro.ac.uk, providing evidence that they were not in Loughborough at the time of the incident.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
How will the University notify a student of claims for damages?,The University will notify the student of claims for damages in writing and will ask the student to pay within 30 days of being notified.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What is the timeframe for a student to appeal a damage claim after being notified?,The student may appeal against the claim by contacting the Hall Manager within 10 days of being notified of the claim.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What is the liability of a student for damage to university property?,"The student is liable to pay the University compensation for damage beyond fair wear and tear, including accidental damage, and for any amount the insurer withholds due to the student's actions or neglect.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What happens if a student makes unauthorized alterations to their accommodation?,"Unauthorized alterations, such as tampering with fire safety equipment, will be treated as damage, and a minimum claim of £10 will be imposed.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
Under what conditions is a student not liable for damage caused by intruders?,"A student will not be liable for damage to the premises or contents caused by unlawful intruders, provided that the student locked the doors and windows when leaving the premises unoccupied.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What legal actions may the University take against a student for unpaid amounts?,The University may take legal proceedings against the Student to recover the amount claimed and will ask the courts to order the Student to pay the costs of those proceedings and any enforcement action relating to them.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What types of damage may result in claims against a student in the Licence agreement?,"Claims for damage may relate to stained carpet or mattresses, marked or damaged walls, failure to empty or defrost fridge/freezer, and damage to electrical/safety equipment, among others.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What behaviors can lead to claims under the Licence agreement?,"Causing a disturbance, engaging in anti-social or criminal behaviour can lead to claims under the Licence agreement.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What are the consequences of losing or returning keys late according to the Licence agreement?,The loss or late return of keys can result in claims against the student as specified in the Licence agreement.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,5
What actions may lead to eviction from University Halls of Residence?,"Actions that may lead to eviction include severe physical or psychological incapacitation, suspicion of drug abuse, illegal occupancy, serious breaches of the University’s regulations such as violence or theft, noise or behavior that disturbs other residents, and emergency maintenance and repair issues.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What should students expect regarding maintenance in University Halls of Residence?,"Students should expect that the University Halls of Residence undergo a rolling refurbishment, maintenance, and construction programme which may lead to some inconvenience or noise disturbance during normal working hours.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What should a student do if they wish to appeal a decision made by the Hall Warden?,"A student can appeal the Hall Warden’s decision by writing to the Student Accommodation Manager, and appeals will be accepted via email at sac@mailbox.lboro.ac.uk.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
Under what circumstances can a student be transferred to a different room?,"A student can be transferred to a different room if, in the reasonable opinion of the Hall Warden or Chief Operating Officer of the University, such a transfer is necessary or desirable for effective pastoral management of the Hall.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What must a student do if the University requires them to vacate the premises for inspection or maintenance?,"The student must vacate the premises or allow reasonable access to enable the University’s employees and contractors to inspect, clean, repair, and maintain the premises. The University will offer suitable alternative accommodation if required.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
Under what circumstances can the University enter the premises without notice?,"The University may enter the premises without notice in cases of immediate necessity or urgency, which include various emergency situations.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
How much notice will the University typically give when access or relocation is required?,"The University will usually give reasonable notice when access or relocation is required, except in emergencies where no notice will be given.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
Under what circumstances may a student be asked to relocate to alternative accommodation?,"The University may ask a Student to relocate to alternative accommodation where it is reasonable to do so. Reasonable grounds for asking the Student to relocate include the need to carry out works of repair, maintenance, or refurbishment at the Premises or the Common areas.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What should a student do if they agree to allow their accommodation to be shown to prospective occupiers?,"If a Student agrees to allow their accommodation to be shown to prospective occupiers, they must co-operate with the University and allow viewings upon reasonable prior notice. The University will also provide some recompense, the type and amount of which will be agreed upon.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
Under what circumstances can a student be relocated from their accommodation?,"A student can be relocated if the premises or common parts are not reasonably fit for occupation, if there is a need to prevent or reduce disturbance among residents, for organizational reasons such as under-occupancy, or due to prolonged interruption of essential services like water or heating.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What should a student expect regarding the substituted accommodation if they are relocated?,The substituted accommodation should be reasonably similar in location and amenity to the original premises.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What rights does a student have if their accommodation is more than 3 miles away from the premises or is substantially lower in amenity?,The student has the right to terminate the Licence agreement as an alternative to relocating.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What are hall fees used for at Loughborough University?,Hall fees are used to help develop the in-hall community and enhance the student experience in halls.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,6
What responsibilities do students have regarding their invited visitors in the Hall?,"Students are responsible for their invited visitors while they are at the Hall and must pay the University compensation for any losses or expenses incurred as a result of actions or neglect by those visitors, provided the University acts reasonably.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,7
What behavior is prohibited to avoid bringing Loughborough University into disrepute?,Students must not do anything that brings Loughborough University into disrepute and must act in a reasonable manner in relation to their use and occupation of the Premises and communal facilities at the Hall.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,7
What are the noise restrictions in the Hall?,"Students are not allowed to play or allow musical instruments or amplified equipment between the hours of 23:00 and 08:00, or make any other noise that causes annoyance to others.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,7
What should students do if their premises will be unoccupied for 7 days or more?,Students must notify the Warden if the premises are to be unoccupied for a continuous period of 7 days or more and take reasonable precautions for the security of the premises and contents during any period of non-occupation.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,7
Are students allowed to bring animals into the halls of residence?,"No, students are not allowed to bring any animal into a hall of residence. However, if a student requires an Assistance Dog, their circumstances must be assessed by Student Welfare.",T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,7
Where can students find the University policies related to their terms and conditions?,University policies are available at www.lboro.ac.uk/governance/ordinances/17/current/.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,7
What are students required to do to prevent damage caused by excess condensation in their accommodation?,Students are required to take all reasonable precautions to keep the Premises adequately ventilated and free from mould and other damage caused by excess condensation.,T&Cs 2026-27 - Loughborough University - Halls of Residence,T&Cs 2026-27 - Loughborough University - Halls of Residence.pdf,7
