query,expected_question
how long does the university have to respond to my appeal,What is the maximum time frame for the Pro-Vice-Chancellor (Education and Student Experience) to convey a decision on an appeal?
what does the university expect me to do as a student,What is expected of students regarding their engagement with studies?
can I record my lecturer during a session,What should a student do if they wish to make a recording of an educational activity?
will my tuition fees go up each year,How are tuition fee increases calculated at Loughborough University?
I have a disability and need adjustments for my exams,What should a student do if they have a long-term condition affecting their studies?
can I bring my car to loughborough when living in halls,What must students do regarding parking if they live in the Halls of Residence at Loughborough University?
what happens when I hand back my keys at the end of the year,What is the procedure for returning keys at Loughborough University Halls of Residence?
I want to move to a different hall what do I do,What is the fee for transferring to an alternative room or hall at Loughborough University?
the university has not fixed my heating for weeks what can I get back,What is the maximum compensation for an interruption of service in Loughborough University Halls of Residence?
my company is paying my fees what paperwork do I need to give,What is required for a sponsor to pay a student's tuition fees at Loughborough University?
85 percent attendance rule,What is the minimum attendance percentage required at Loughborough University within any 4-week period?
what counts as engaging with my course,What does 'engagement' mean according to the Attendance and Engagement Policy?
terminating my room licence,What must a student do to terminate their Licence agreement before or during the Licence Period?
academic dishonesty penalty,What are the consequences of committing academic misconduct at Loughborough University?
degree classification calculation loughborough,How is a student's degree classification calculated at Loughborough University?
grade boundaries first class degree,How is the Degree Classification awarded at Loughborough University?
tier 4 visa attendance monitoring,What is the requirement for students receiving immigration sponsorship under the Tier 4/Student Visa scheme regarding meetings with their supervisor?
faulty room report timeline,What is the time frame for reporting defects in the Premises after receiving the keys?
hall room transfer fee,What is the fee for transferring to an alternative room or hall at Loughborough University?
noise complaint quiet hours,What are the noise restrictions in Loughborough University Halls of Residence?
prohibited items accommodation,What items are prohibited in the Halls of Residence?
leaving uni mid year fees,What are the consequences of withdrawing from Loughborough University after four calendar weeks?
belongings after vacating halls,What is the student's responsibility regarding their belongings at the end of the Licence Period?
unpaid accommodation debt consequences,What actions may the university take if a student fails to pay an amount owed?
I lied on my application what happens,What may happen if an applicant provides false statements or fraudulent information?
what protects me if loughborough shuts down,What is the purpose of the Student Protection Plan at Loughborough University?
I keep missing classes and nothing has happened yet,What happens if a student's participation is unsatisfactory for three consecutive weeks?
I did badly in my exams because of personal problems what are my options,What is the Mitigating Circumstances procedure?
what are my rights if I disagree with my programme board results,What are the grounds for a student to appeal against a Programme Board or Review Board decision?
I am not happy with how my complaint was dealt with,What is the process for filing a complaint as a registered student at Loughborough University?
does loughborough share my personal information with other organisations,What is the purpose of holding and processing personal data at Loughborough University?
I need extra time in exams because of a health condition,What should a student do if they have a long-term condition affecting their studies?
my situation has changed since I accepted my offer what should I do,What should a student do if their circumstances change after receiving an offer from Loughborough University?
I am thinking about taking a break from my studies,What happens if a student takes a Leave of Absence for more than two years?
going home for a long time what do I tell halls,What should a student do if their premises will be unoccupied for 7 days or more?
three weeks of absence,What happens if a student's participation is unsatisfactory for three consecutive weeks?
leaving loughborough,What are the consequences of withdrawing from Loughborough University after four calendar weeks?
written warning attendance,What happens if a student's participation is unsatisfactory for three consecutive weeks?
accommodation problems,What is the process for raising a complaint regarding the Licence terms at Loughborough University?
fees not paid,What happens if tuition fees are not paid by the due date at Loughborough University?
contract loughborough,What are the principal terms and conditions of the contract between you and Loughborough University?
disability support accommodation,What happens if the University terminates the Licence on disability or health grounds?
appeal my results,What are the grounds for a student to appeal against a Programme Board or Review Board decision?
how much is a standard room in Faraday Hall for 13 weeks,What is the fee for a Standard room in Faraday Hall for 13 weeks?
what is the en suite price in Royce Hall,What are the fees for an En-Suite room in Royce Hall for 14 weeks?
what is included in hall fees,What is included in the hall fees for students?
how many meals per week in catered halls,How many meals per week are included in the catered accommodation for undergraduate students?
how long is the halls contract,What is the contract length for catered accommodation for undergraduate students?
cheapest room at loughborough,What are the total fees for a single room without a wash hand basin for 13 weeks?
Rutherford Hall en suite fees,What are the fees for an En-Suite room in Rutherford Hall for 14 weeks?
what is a standard room at loughborough,What is the definition of a standard room at Loughborough University?
when is the first halls payment due,When is the first instalment of the accommodation fees due for the 2025 academic year?
what percentage of students got a first in 2023 24,What was the percentage of students awarded a first-class degree at Loughborough University in 2023/24?
how many credits to pass each year bachelors,How many credits must a student registered for a Bachelors award accumulate each year to qualify for an Honours degree?
what is the pass mark for integrated masters,What is the overall average mark required for a student registered for an Integrated Masters award to pass each year?
how long does an appeal take at loughborough,What is the maximum time frame for the Pro-Vice-Chancellor (Education and Student Experience) to convey a decision on an appeal?
what is the 10 working day deadline for,What is the deadline for submitting an appeal against a Programme Board or Review Board decision?
fee for cancelling accommodation before april 2026,What is the administration fee for cancelling the accommodation licence if the cancellation form is submitted on or before 30 April 2026?
cancel halls after june 2026,What happens if a student wishes to terminate the Licence after 1 June 2026 and before the start of the Licence Period?
heating or water breaks down for 48 hours,What is the University's liability for service interruptions?
upper second degree percentage change,How did the percentage of students awarded an upper second degree at Loughborough University change from 2019/20 to 2023/24?
four year classification review,How often does Loughborough University review its classification mechanisms?
what evidence do I need for an appeal,What is the expected evidence a student must provide when appealing a decision?
appeal sent back to board,What happens if an appeal is upheld by the Academic Registrar or Pro-Vice-Chancellor regarding a Programme or Review Board decision?
five working days appeal response,What is the timeframe for a student to be informed of the decision regarding their appeal?
20 working days appeal case,What is the typical timeframe for a case to be considered under the appeals process?
I was convicted of a crime will I be allowed to study,Will having a criminal conviction prevent an individual from studying at Loughborough University?
bullying and discrimination at loughborough,What types of behavior are considered unacceptable at Loughborough University?
PhD monthly meeting requirement,What is the minimum requirement for supervisory meetings for full-time research students at Loughborough University?
supervisor contact when doing research away from campus,What is the requirement for research students conducting research at a location other than the University regarding supervisor contact?
missed PhD supervision what is recorded,What happens if a student misses a scheduled monthly meeting without notifying their School?
tier 4 monthly on campus meeting,What is the requirement for students receiving immigration sponsorship under the Tier 4/Student Visa scheme regarding meetings with their supervisor?
thesis corrections visa extension months,What is the maximum duration for a visa extension for students working full-time on corrections?
